03/06/2010; Corpus Christi; balneario_camboriu-sc
01/01/2011;  Ano Novo; balneario_camboriu-sc
08/03/2011;  Carnaval; balneario_camboriu-sc
21/04/2011;  Dia de Tiradentes; balneario_camboriu-sc
22/04/2011;  SextaFeira Santa; balneario_camboriu-sc
22/04/2011;  SextaFeira Santa; balneario_camboriu-sc
01/05/2011;  Dia do Trabalho; balneario_camboriu-sc
23/06/2011;  Corpus Christi; balneario_camboriu-sc
20/07/2011;  Aniversário da Cidade; balneario_camboriu-sc
11/08/2011;  Dia de Santa Catarina; balneario_camboriu-sc
07/09/2011;  Independência do Brasil; balneario_camboriu-sc
12/10/2011;  Nossa Senhora Aparecida; balneario_camboriu-sc
02/11/2011;  Dia de Finados; balneario_camboriu-sc
15/11/2011;  Proclamação da República; balneario_camboriu-sc
25/12/2011;  Natal; balneario_camboriu-sc
07/03/2011; Carnaval; balneario_camboriu-sc
08/03/2011; Carnaval; balneario_camboriu-sc
09/03/2011; Carnaval; balneario_camboriu-sc
23/06/2011; Corpus Christi; balneario_camboriu-sc
01/01/2012;  Ano Novo; balneario_camboriu-sc
21/02/2012;  Carnaval; balneario_camboriu-sc
06/04/2012;  SextaFeira Santa; balneario_camboriu-sc
06/04/2012;  SextaFeira Santa; balneario_camboriu-sc
21/04/2012;  Dia de Tiradentes; balneario_camboriu-sc
01/05/2012;  Dia do Trabalho; balneario_camboriu-sc
07/06/2012;  Corpus Christi; balneario_camboriu-sc
20/07/2012;  Aniversário da Cidade; balneario_camboriu-sc
11/08/2012;  Dia de Santa Catarina; balneario_camboriu-sc
07/09/2012;  Independência do Brasil; balneario_camboriu-sc
12/10/2012;  Nossa Senhora Aparecida; balneario_camboriu-sc
02/11/2012;  Dia de Finados; balneario_camboriu-sc
15/11/2012;  Proclamação da República; balneario_camboriu-sc
25/12/2012;  Natal; balneario_camboriu-sc
20/02/2012; Carnaval; balneario_camboriu-sc
21/02/2012; Carnaval; balneario_camboriu-sc
22/02/2012; Carnaval; balneario_camboriu-sc
07/06/2012; Corpus Christi; balneario_camboriu-sc
01/01/2013;  Ano Novo; balneario_camboriu-sc
12/02/2013;  Carnaval; balneario_camboriu-sc
29/03/2013;  SextaFeira Santa; balneario_camboriu-sc
29/03/2013;  SextaFeira Santa; balneario_camboriu-sc
21/04/2013;  Dia de Tiradentes; balneario_camboriu-sc
01/05/2013;  Dia do Trabalho; balneario_camboriu-sc
30/05/2013;  Corpus Christi; balneario_camboriu-sc
20/07/2013;  Aniversário da Cidade; balneario_camboriu-sc
11/08/2013;  Dia de Santa Catarina; balneario_camboriu-sc
07/09/2013;  Independência do Brasil; balneario_camboriu-sc
12/10/2013;  Nossa Senhora Aparecida; balneario_camboriu-sc
02/11/2013;  Dia de Finados; balneario_camboriu-sc
15/11/2013;  Proclamação da República; balneario_camboriu-sc
25/12/2013;  Natal; balneario_camboriu-sc
11/02/2013; Carnaval; balneario_camboriu-sc
12/02/2013; Carnaval; balneario_camboriu-sc
13/02/2013; Carnaval; balneario_camboriu-sc
30/05/2013; Corpus Christi; balneario_camboriu-sc
01/01/2014;  Ano Novo; balneario_camboriu-sc
04/03/2014;  Carnaval; balneario_camboriu-sc
18/04/2014;  SextaFeira Santa; balneario_camboriu-sc
18/04/2014;  SextaFeira Santa; balneario_camboriu-sc
21/04/2014;  Dia de Tiradentes; balneario_camboriu-sc
01/05/2014;  Dia do Trabalho; balneario_camboriu-sc
19/06/2014;  Corpus Christi; balneario_camboriu-sc
20/07/2014;  Aniversário da Cidade; balneario_camboriu-sc
11/08/2014;  Dia de Santa Catarina; balneario_camboriu-sc
07/09/2014;  Independência do Brasil; balneario_camboriu-sc
12/10/2014;  Nossa Senhora Aparecida; balneario_camboriu-sc
02/11/2014;  Dia de Finados; balneario_camboriu-sc
15/11/2014;  Proclamação da República; balneario_camboriu-sc
25/12/2014;  Natal; balneario_camboriu-sc
03/03/2014; Carnaval; balneario_camboriu-sc
04/03/2014; Carnaval; balneario_camboriu-sc
05/03/2014; Carnaval; balneario_camboriu-sc
19/06/2014; Corpus Christi; balneario_camboriu-sc
01/01/2015;  Ano Novo; balneario_camboriu-sc
17/02/2015;  Carnaval; balneario_camboriu-sc
03/04/2015;  SextaFeira Santa; balneario_camboriu-sc
03/04/2015;  SextaFeira Santa; balneario_camboriu-sc
21/04/2015;  Dia de Tiradentes; balneario_camboriu-sc
01/05/2015;  Dia do Trabalho; balneario_camboriu-sc
04/06/2015;  Corpus Christi; balneario_camboriu-sc
20/07/2015;  Aniversário da Cidade; balneario_camboriu-sc
11/08/2015;  Dia de Santa Catarina; balneario_camboriu-sc
07/09/2015;  Independência do Brasil; balneario_camboriu-sc
12/10/2015;  Nossa Senhora Aparecida; balneario_camboriu-sc
02/11/2015;  Dia de Finados; balneario_camboriu-sc
15/11/2015;  Proclamação da República; balneario_camboriu-sc
25/12/2015;  Natal; balneario_camboriu-sc
16/02/2015; Carnaval; balneario_camboriu-sc
17/02/2015; Carnaval; balneario_camboriu-sc
18/02/2015; Carnaval; balneario_camboriu-sc
04/06/2015; Corpus Christi; balneario_camboriu-sc
01/01/2016;  Ano Novo; balneario_camboriu-sc
09/02/2016;  Carnaval; balneario_camboriu-sc
25/03/2016;  SextaFeira Santa; balneario_camboriu-sc
25/03/2016;  SextaFeira Santa; balneario_camboriu-sc
21/04/2016;  Dia de Tiradentes; balneario_camboriu-sc
01/05/2016;  Dia do Trabalho; balneario_camboriu-sc
26/05/2016;  Corpus Christi; balneario_camboriu-sc
20/07/2016;  Aniversário da Cidade; balneario_camboriu-sc
11/08/2016;  Dia de Santa Catarina; balneario_camboriu-sc
07/09/2016;  Independência do Brasil; balneario_camboriu-sc
12/10/2016;  Nossa Senhora Aparecida; balneario_camboriu-sc
02/11/2016;  Dia de Finados; balneario_camboriu-sc
15/11/2016;  Proclamação da República; balneario_camboriu-sc
25/12/2016;  Natal; balneario_camboriu-sc
08/02/2016; Carnaval; balneario_camboriu-sc
09/02/2016; Carnaval; balneario_camboriu-sc
10/02/2016; Carnaval; balneario_camboriu-sc
26/05/2016; Corpus Christi; balneario_camboriu-sc
01/01/2017;  Ano Novo; balneario_camboriu-sc
28/02/2017;  Carnaval; balneario_camboriu-sc
14/04/2017;  SextaFeira Santa; balneario_camboriu-sc
14/04/2017;  SextaFeira Santa; balneario_camboriu-sc
21/04/2017;  Dia de Tiradentes; balneario_camboriu-sc
01/05/2017;  Dia do Trabalho; balneario_camboriu-sc
15/06/2017;  Corpus Christi; balneario_camboriu-sc
20/07/2017;  Aniversário da Cidade; balneario_camboriu-sc
11/08/2017;  Dia de Santa Catarina; balneario_camboriu-sc
07/09/2017;  Independência do Brasil; balneario_camboriu-sc
12/10/2017;  Nossa Senhora Aparecida; balneario_camboriu-sc
02/11/2017;  Dia de Finados; balneario_camboriu-sc
15/11/2017;  Proclamação da República; balneario_camboriu-sc
25/12/2017;  Natal; balneario_camboriu-sc
27/02/2017; Carnaval; balneario_camboriu-sc
28/02/2017; Carnaval; balneario_camboriu-sc
01/03/2017; Carnaval; balneario_camboriu-sc
15/06/2017; Corpus Christi; balneario_camboriu-sc
01/01/2018;  Ano Novo; balneario_camboriu-sc
13/02/2018;  Carnaval; balneario_camboriu-sc
30/03/2018;  SextaFeira Santa; balneario_camboriu-sc
30/03/2018;  SextaFeira Santa; balneario_camboriu-sc
21/04/2018;  Dia de Tiradentes; balneario_camboriu-sc
01/05/2018;  Dia do Trabalho; balneario_camboriu-sc
31/05/2018;  Corpus Christi; balneario_camboriu-sc
20/07/2018;  Aniversário da Cidade; balneario_camboriu-sc
11/08/2018;  Dia de Santa Catarina; balneario_camboriu-sc
07/09/2018;  Independência do Brasil; balneario_camboriu-sc
12/10/2018;  Nossa Senhora Aparecida; balneario_camboriu-sc
02/11/2018;  Dia de Finados; balneario_camboriu-sc
15/11/2018;  Proclamação da República; balneario_camboriu-sc
25/12/2018;  Natal; balneario_camboriu-sc
12/02/2018; Carnaval; balneario_camboriu-sc
13/02/2018; Carnaval; balneario_camboriu-sc
14/02/2018; Carnaval; balneario_camboriu-sc
31/05/2018; Corpus Christi; balneario_camboriu-sc
01/01/2019;  Ano Novo; balneario_camboriu-sc
05/03/2019;  Carnaval; balneario_camboriu-sc
19/04/2019;  SextaFeira Santa; balneario_camboriu-sc
19/04/2019;  SextaFeira Santa; balneario_camboriu-sc
21/04/2019;  Dia de Tiradentes; balneario_camboriu-sc
01/05/2019;  Dia do Trabalho; balneario_camboriu-sc
20/06/2019;  Corpus Christi; balneario_camboriu-sc
20/07/2019;  Aniversário da Cidade; balneario_camboriu-sc
11/08/2019;  Dia de Santa Catarina; balneario_camboriu-sc
07/09/2019;  Independência do Brasil; balneario_camboriu-sc
12/10/2019;  Nossa Senhora Aparecida; balneario_camboriu-sc
02/11/2019;  Dia de Finados; balneario_camboriu-sc
15/11/2019;  Proclamação da República; balneario_camboriu-sc
25/12/2019;  Natal; balneario_camboriu-sc
04/03/2019; Carnaval; balneario_camboriu-sc
05/03/2019; Carnaval; balneario_camboriu-sc
06/03/2019; Carnaval; balneario_camboriu-sc
20/06/2019; Corpus Christi; balneario_camboriu-sc
01/01/2020;  Ano Novo; balneario_camboriu-sc
25/02/2020;  Carnaval; balneario_camboriu-sc
10/04/2020;  SextaFeira Santa; balneario_camboriu-sc
10/04/2020;  SextaFeira Santa; balneario_camboriu-sc
21/04/2020;  Dia de Tiradentes; balneario_camboriu-sc
01/05/2020;  Dia do Trabalho; balneario_camboriu-sc
11/06/2020;  Corpus Christi; balneario_camboriu-sc
20/07/2020;  Aniversário da Cidade; balneario_camboriu-sc
11/08/2020;  Dia de Santa Catarina; balneario_camboriu-sc
07/09/2020;  Independência do Brasil; balneario_camboriu-sc
12/10/2020;  Nossa Senhora Aparecida; balneario_camboriu-sc
02/11/2020;  Dia de Finados; balneario_camboriu-sc
15/11/2020;  Proclamação da República; balneario_camboriu-sc
25/12/2020;  Natal; balneario_camboriu-sc
24/02/2020; Carnaval; balneario_camboriu-sc
25/02/2020; Carnaval; balneario_camboriu-sc
26/02/2020; Carnaval; balneario_camboriu-sc
11/06/2020; Corpus Christi; balneario_camboriu-sc
01/01/2021;  Ano Novo; balneario_camboriu-sc
16/02/2021;  Carnaval; balneario_camboriu-sc
02/04/2021;  SextaFeira Santa; balneario_camboriu-sc
02/04/2021;  SextaFeira Santa; balneario_camboriu-sc
21/04/2021;  Dia de Tiradentes; balneario_camboriu-sc
01/05/2021;  Dia do Trabalho; balneario_camboriu-sc
03/06/2021;  Corpus Christi; balneario_camboriu-sc
20/07/2021;  Aniversário da Cidade; balneario_camboriu-sc
11/08/2021;  Dia de Santa Catarina; balneario_camboriu-sc
